// ------=={{ Scene, Intro }}==------ \\

setup.intro = {
	feartrust, "\"I'll share a secret...I've never been good around $char1fear.\"",
	fear, "The noble simply stares at you in disbelief for asking such a crass question.",
    suspicion, "I don't like it admit it, but I'm flummoxed.",
	service, "Even my magificent familiar can't pick up any vibrations!",
}

// ------=={{ C H A R A C T E R S }}==------ \\

setup.char1 = {
	name, "Yu",
	fullname, "Lord Fnarfop Yu",
	namedisplay, "an aristocratic blue-skinned young man",
	intro, "\"Hmm...hello, there. I'm Lord Yu, Fnarfop Yu. I suppose it's nice to make your acquaintance...\"", 
	dismiss, "\"Do be on your way, now. I've grown tired of this conversation.\"",
	magic, "\"'Twas ordained from birth, for me - my great-great-great-something or other was a founder. And of course, no doubt you've heard of my family? We're renowned for our mastery of $char1magic.\"",
	familiar, "\"I'm not surprised you've never seen one quite so majestic. We conjured it up in a ritual that's a rather close-kept family secret.\" The young nobleman smiles archly over at his shimmering $char1familiar familiar.",
	food, "\"Of course, but I'm hardly going to share with some unknown element like you. You could be trying to poison me! I had an uncle who was assassinated.\"",
	foodtrust, "I've had the servants pack some of my favorite treat, $char1food.\"",
	feartrust, "\"I'll share a secret...I've never been good around $char1fear.\"",
	fear, "The noble simply stares at you in disbelief for asking such a crass question.",
}

setup.char2 = {
	name, "Adriash",
	fullname, "Adriash Honde",
	namedisplay, "a long-limbed thaloon",
	intro, "\"Hmm...hello, there. I'm Lord Yu, Fnarfop Yu. I suppose it's nice to make your acquaintance...\"", 
	dismiss, "\"Do be on your way, now. I've grown tired of this conversation.\"",
	magic, "\"'Twas ordained from birth, for me - my great-great-great-something or other was a founder. And of course, no doubt you've heard of my family? We're renowned for our mastery of $char1magic.\"",
	familiar, "\"I'm not surprised you've never seen one quite so majestic. We conjured it up in a ritual that's a rather close-kept family secret.\" The young nobleman smiles archly over at his shimmering $char1familiar familiar.",
	food, "\"Of course, but I'm hardly going to share with some unknown element like you. You could be trying to poison me! I had an uncle who was assassinated.\"",
	foodtrust, "I've had the servants pack some of my favorite treat, $char1food.\"",
	feartrust, "\"I'll share a secret...I've never been good around $char1fear.\"",
	fear, "The noble simply stares at you in disbelief for asking such a crass question.",
}

setup.char3 = {
	name, "Matiska",
	fullname, "Matiska",
	namedisplay, "a stern-faced young woman",
	intro, "\"Hmm...hello, there. I'm Lord Yu, Fnarfop Yu. I suppose it's nice to make your acquaintance...\"", 
	dismiss, "\"Do be on your way, now. I've grown tired of this conversation.\"",
	magic, "\"'Twas ordained from birth, for me - my great-great-great-something or other was a founder. And of course, no doubt you've heard of my family? We're renowned for our mastery of $char1magic.\"",
	familiar, "\"I'm not surprised you've never seen one quite so majestic. We conjured it up in a ritual that's a rather close-kept family secret.\" The young nobleman smiles archly over at his shimmering $char1familiar familiar.",
	food, "\"Of course, but I'm hardly going to share with some unknown element like you. You could be trying to poison me! I had an uncle who was assassinated.\"",
	foodtrust, "I've had the servants pack some of my favorite treat, $char1food.\"",
	feartrust, "\"I'll share a secret...I've never been good around $char1fear.\"",
	fear, "The noble simply stares at you in disbelief for asking such a crass question.",
}

setup.char4 = {
	name, "Atana",
	fullname, "Ersatz Atana",
	namedisplay, "a mature, nimble woman",
	intro, "\"Hmm...hello, there. I'm Lord Yu, Fnarfop Yu. I suppose it's nice to make your acquaintance...\"", 
	dismiss, "\"Do be on your way, now. I've grown tired of this conversation.\"",
	magic, "\"'Twas ordained from birth, for me - my great-great-great-something or other was a founder. And of course, no doubt you've heard of my family? We're renowned for our mastery of $char1magic.\"",
	familiar, "\"I'm not surprised you've never seen one quite so majestic. We conjured it up in a ritual that's a rather close-kept family secret.\" The young nobleman smiles archly over at his shimmering $char1familiar familiar.",
	food, "\"Of course, but I'm hardly going to share with some unknown element like you. You could be trying to poison me! I had an uncle who was assassinated.\"",
	foodtrust, "I've had the servants pack some of my favorite treat, $char1food.\"",
	feartrust, "\"I'll share a secret...I've never been good around $char1fear.\"",
	fear, "The noble simply stares at you in disbelief for asking such a crass question.",
}

setup.char5 = {
	name, "Nevry",
	fullname, "Nevry Jackson",
	namedisplay, "a redheaded, scrawny young man",
	intro, "\"Hmm...hello, there. I'm Lord Yu, Fnarfop Yu. I suppose it's nice to make your acquaintance...\"", 
	dismiss, "\"Do be on your way, now. I've grown tired of this conversation.\"",
	magic, "\"'Twas ordained from birth, for me - my great-great-great-something or other was a founder. And of course, no doubt you've heard of my family? We're renowned for our mastery of $char1magic.\"",
	familiar, "\"I'm not surprised you've never seen one quite so majestic. We conjured it up in a ritual that's a rather close-kept family secret.\" The young nobleman smiles archly over at his shimmering $char1familiar familiar.",
	food, "\"Of course, but I'm hardly going to share with some unknown element like you. You could be trying to poison me! I had an uncle who was assassinated.\"",
	foodtrust, "I've had the servants pack some of my favorite treat, $char1food.\"",
	feartrust, "\"I'll share a secret...I've never been good around $char1fear.\"",
	fear, "The noble simply stares at you in disbelief for asking such a crass question.",
}
